,Comentario
148,"Impresionante lugar, lleno de belleza artística. Lugar obligado en una visita a CDMX. Primera vez que voy a un museo de cera y quedé impresionado con las réplicas de gente famosa y que quizá nunca conoceré en persona. Las obras guardan las medidas reales en cuanto a estatura, tono de piel, etc."
149,"Gran lugar para disfrutar de curiosidades tanto humanas y objetos :) tiene varios pasajes interesantes es muy barato $140 al público, $110 estudiantes y a Inapam (NO HAY PAGO CON TARJETA) es lo único malo :)"
150,"La verdad es que no vale el precio de sus entradas, muchas de las figuras que promocionan no están, las salas son muy escasas en la parte del terror está muy cucha parece casa del terror de feria, en la parte de Star wars, sólo tienen un Yoda y ya, la verdad es que te deja una sensación vacía."
151,"Constantemente actualizan las salas y los personajes, es una buen a opción familiar para visirarlo cualquier día. Entre semana está menos concurrido."
152,Me encantó!! Demasiado divertido. Hay personajes que no se parecen pero en general esta muy padre.
153,"Muy divertido, la verdad recomiendo pasar a todas las atracciones en este lugar 😬😬, respetan mucho la sana distancia y no hay muchas aglomeraciones, la verdad es una experiencia muy padre, los trabajadores muy amables"
154,Hace años vine y me gusto por el personaje de cantinflas y ahora esta mucho mejor con grandes personajes y muy bien parecidos y hechos
155,"Muy agradable visita, un espacio para asombrarte del ser humano, cosas y personas muy especiales de pueblos lejanos, costumbres y cultura."
156,"El museo de Ripley está justo a lado del museo de cera y vale la pena visitarlo, no sale tan caro comprar entradas para visitar ambos museos el mismo día."
157,Uno de los museos qué más me encanta pero no siguen mucho la medida de tantas personas por sala
158,"El lugar es bonito, pero me llama la atención ver figuras de gente con tan poco valor como un tal Juanpa Zurita al que además ubicaron con grandes personalidades como Lady Gaga y Michael Jackson , además de un  tal Víctor a Brozo , y  Loret de Mola que no tienen a mi gusto ningún mérito para estar ahí"
159,"Un lugar lleno de magia y encanto, con personajes muy parecidos y otros no tanto. Vale la pena venir con la familia y pasar una buena tarde. El valor de la entrada es de 140 pesos mexicanos más o menos unos 7 a 8 dólares."
160,"Me gustó mucho. Fui con dos niños pequeños y no lo vuelvo a hacer,  pero los niños más grandesitos y los adultos la pasamos muy bien."
161,"Lo recomiendo para pasar una buena tarde y también aprovechar las otras tres actividades (Ripley, simulador y 4D)."
162,Es la primera vez que voy en mi vida
163,Excelente lugar para ir con tu familia
164,Muy bueno
165,"Excelente lugar para visitar con la familia, es muy entretenido y hasta educativo."
166,Excelente lugar para pasar un día en familia
167,"Un lugar increíble, es emocionante ver todas esa figuras.! 🤩"
168,De maravilla quedamos encantados esperaba menos pero quedamos satisfechos con lo que ofrecen muy esxtenso y bonito el de cera el de ripley también está padre y el simulador en el que más nos divertimos  cabe mencionar que para estas atracciones es un boleto combinado de un precio de $325 adulto y $255 niños eso si de verdad los vale
169,"bastante bien el museo, muy entretenido e interesante, aunque consideró que deberían más salas o exposiciones, y aceptar pago con tarjeta, por lo demás muy bien para pasar una buena tarde"
170,Nada del otro mundo. Precio muy elevado para lo que ofrece
171,"Divertido, buen servicio, los usuarios no respetan la distancia reglamentaria, ni las instrucciones del uso de cubrebocas :("
172,"Es un lugar muy bonito. Cerca a dos atracciones mas. Tiene mucha estrellas de rock, pop, muchos presidentes, reyes, jugadores de varios equipos y de varios deportes. Hay mucha historia mexicana y sus presidentes, tambien tiene su zona de horror donde podemos ver peliculas reconocida. Tiene un laberinto muy divertido. Tiene una tienda de souvenir muy surtida. Hay ofertas."
173,"La verdad un excelente lugar para ir con tu familia, hijos, amigos o hasta solo, disfrutas mucho de este lugar y lo mejor es que al terminar el recorrido puedes llevarte tu mano hecha en cera solo te recomiendo que cuando le pongas el yeso que te dan cuando lo tengas listo lo viertas inmediatamente para que no se seque, pero un lugar extraordinario."
174,"Excelente sitio, precio accesible, puedes ir de paseo un domingo con familia y lo vas a disfrutar."
175,"Me gustó mucho un lugar muy interesante para visitar, tiene bastantes artistas puedes acercarte a ellos, tomarte fotos con o sin flash, el personal es muy amable, exelente lugar para visitar, las instalaciones muy limpias y seguras, cada cuarto tiene música o sonido según ala temática de las figuras"
176,Agradable y secciones divertidas.
177,"Es un bonito museo donde se rinde homenaje a los personajes mas emblematicos de México. Se trata de actualizar y representar a las figuras que han sido reconocidas a nivel nacional e internacional desde el inicio de este gran país. Con el tiempo los personajes se van actualizando ya que son muchos los personajes que pueden y deben ser representados en este museo pues, se trata de abarcar todos los ámbitos: cine, televisión, música, arte, periodismo, política, deportes, etc."
178,"Definitivamente una atracción que los niños y adultos no deben dejar de visitar, ya que es muy emocionante encontrarse con sus personajes favoritos en tamaño real. El área de terror y el laberinto de espejos fue lo más emocionante. También cuenta con algunas figuras que se mueven y cantan cómo la de Plácido Domingo."
179,"Tiene cosas muy muy interesantes y sin duda algunas muy únicas. Te sorprenderás con muchas de ellas, es increíble para ir en pareja, te divertirás y también aprenderás y conocerás muchísimas cosas nuevas. Recomiendo pagar el boleto para las 3 atracciones, conviene bastante y sin duda es una experiencia inolvidable."
