,Comentario
139,Una exelente coleccion temporal entre arqueologia y pinturas
140,Excelente museo
141,Súper lugar visita obligatoria para conocer la historias de las culturas antiguas en el país y mucho más alucinante
142,"I N C R E I B L E. Un museo de talla mundial, no"
143,"Muchas áreas en remodelación, no se respeta la sana distancia ni al momento de ingresar, ni al momento de adquirir los boletos, no hay elementos que indiquen una cantidad de personas que puedan acceder a cada sala para q se pueda disfrutar sin tantos tumultos y eso es fundamental en estos momentos. Muy buena limpieza"
144,Muy bonito lugar para disfrutar de un buen rato con la familia
145,Esté museo es uno de los mejores museos que he visto ✅ la verdad tienen muchísimas cosas muy muy interesantes en las exposiciones que tienen la verdad vale mucho la pena venir a este museo!!
146,La historia precolombina de México.  Un lugar que te transporta a otro mundo. Casa de la Piedra del Sol.
147,"Es un museo muy entretenido, con mucha información cultural, y mucha historia, el cual esta bien explicado y distribuido. Para los niños es muy entretenido. El domingo es gratis, únicamente piden el INE para visitantes nacionales. Para visitantes extranjeros si tiene costo.  Cuenta con varios estacionamientos alrededor, los cuales recomiendo más que dejar el carro en la calle."
148,"Excelente lugar, un museo muy completo e imprescindible para visitar"
149,"Un museo muy completo, muy rico en historia, etnografía y antropología. Todo explicado desde el punto de vista científico. Sin entrar en valoraciones morales de si los españoles con su llegado fueron buenos o malos, como debe ser. Sin duda lo recomiendo para aprender un poco más sobre las culturas precolombinas de México."
150,"Hermoso y muy interesante. Para verlo completo, necesitaríamos por lo menos dos visitas."
151,"Desde noviembre de 2021, en la sala temporal, está una exposición  sobre la riqueza histórica de México"
152,"Tremenda experiencia en el museo de Antropologia, Carlos Hernandez nos guió por casi todo el museo, se sabe todo de la cabeza a los pies."
153,Excelente muy interesante aprendes mucho en cada recorrido
154,"Un buen lugar para aprender de historia, un tip  si abren después de las 5 y si llegas a esa hora es gratis antes de eso son 80 de lunes a sábado"
155,El museo es un espacio para ser visitado en promedio en 4 horas. Si quieres en verdad aprender y disfrutarlo. Están muy cansones con el tema del Tapabocas ... Sin embargo el lugar es fabuloso. Recomendado tomarse un delicioso Chocolate Oxaca en su cafetería.
156,"El mejor museo de América, no pueden dejar de visitarlo"
157,This is THE MUSEUM of Mexico. A must to do for any visitor. Este es EL MUSEO de México. Visita obligada para cualquier visitante.
158,Imposible entender a Centroamérica son conocer de donde se viene.  Será un viaje de asombro
159,De mis lugares preferidos es éste museo donde se exponen excelentes muestras de nuestras raices!
