,Comentario
60,"Aún funciona parcialmente por la pandemia. Más de la mitad de la mitad de la exhibición fuera de servicio, pero aún así fuerzan la entrada en grupos. La interactividad que es muy importante para los niños está casi ausente. Algunos temas mal cubiertos por los anfitriones. Precioso lugar."
61,"Es un museo obligado de visitar en la ciudad de México, yo lo conocí desde pequeña y estaba dentro de mi top de museos favoritos pero ahora que lleve a mi hijo esta muy cambiado, el lugar está muy bien organizado y toca muchísimos temas importantes pero todo o casi todo es interactivo y el 30 o 40% de ello no funciona o está fuera de servicio. Además las personas llevan niños demasiado pequeños que aún no son capaces de comprender los temas que abarca el museo y se aburren y comienzan a gritar o llorar, se ponen a jugar con los aparatos interactivos sin poner atención en realidad al tema y no permiten a personas interesadas en acercarse a él. Lo bueno es que los guías conocen muy bien los temas y si te acercas a ellos mejorarán tu experiencia con sus explicaciones. Tiene un precio accesible y las actividades extra son interesantes, vayan temprano porque les llevará todo el día recorrerlo."
62,"Me encantó este museo, es un museo interactivo perfecto para niños, entretenido para tanto grandes como para pequeños, es seguro, tiene un restaurante adentro del museo, junto con una biblioteca, los baños estan limpios, afuera del museo venden más comida, te enseña mucho y hay personas que te explican cada cosa, esta grande y cada sala tiene su tema y es muy entretenido, te enseñan muchas cosas entre ellas un mariposario y más cosas, lo recomiendo demasiado, hay obras de teatro muy buenas, una experiencia muy enriquecedora.
Un tip que les podría dar es que lleguen temprano para ver cada sala y que vean el mariposario.😄"
63,"Muy cara la admisión para una familia standard, aparte te cobran extra por entrar a las salas que antes no cobraban y que sabes de antemano que los niños van a querer entrar."
64,"Es muy agradable estar ahí, no alcanze a entrar a todas las salas por que cada una tiene un mundo 🌏 de ideas, mucha información que para mucha gente podría ser nueva, aun que es esencial para los niños, también resulta muy interesante para los adultos. Unas de las que recuerdo son, la sala 3D, la de sexualidad, la sala reduce, reutiliza y recicla, el universo, la física, la química."
65,"Es un museo es bastante grande y tiene una gran variedad actividades en las que adultos y niños pueden participar!!! Cuenta con talleres, experimentos, planetario (opcional), proyecciones y actividades. Hay estacionamiento con un costo de 10 pesos, la entrada cuesta 80 pesos y te hacen descuento con credencial de estudiante o de adulto mayor. Cuenta con cafetería a precios accesibles. Solo que hay que ir con tiempo para que puedas recorrer todo el museo. Muy recomendable!!!"
66,"Tienes que ir, solo o acompañado, vale mucho la pena. Aprenderás muchísimo, te recomiendo ir al menos dos veces para recorrer todo con calma. Las instalaciones son buenas, siempre hay alguien dispuesto a ayudarte o explicarte, hay material audiovisual y el museo es un 90% didáctico, así que la visita  es muy amena. Si llevas niños pequeños también pueden aprender muchísimo  y divertirse en el proceso. Hay actividades extra como el planetario o la casa sustentable UNAM, también hay talleres. Tiene una cafetería y una librería, así que puedes pasarte una buena tarde. En accesibilidad 9/10"
67,"Me gustó demasiado. No esperaba que estuviera tan grande y tan bien cuidado. Alguna vez, hace años, escuché que era como el papalote y que estaba muy descuidado. Pero todo lo contrario. Mucha calidad y muy grande, necesitas prácticamente todo el día para recorrerlo por completo o 2 días mínimo. Espero poder regresar pronto para verlo completo."
68,"Cuenta con varias salas, muy amenas e interesantes. La atención de los chicos que dan las explicaciones es muy buena. Son muy amables y se percibe que dominan el tema. Hay varios talleres para niños enfocados por edades, cuestan $25 pesos e incluye los materiales y la guía personalizada para realizar el objeto del taller."
69,"Blanca Estela Aguilar es una señora muy grosera, está de vigilante, espero puedan hacer algo para que sean amables o cordiales con los visitantes, es muy déspota. En cuanto al museo está muy bien para los niños, aprenden bastante y se divierten mucho, hay varios temas por ver, física, química, cerebro, vaquita marina, etc etc."
