,Comentario
62,"Gran experiencia, historica y grande estructura de la época de la independencia, vale 100% la pena entrar y ver todas sus exposiciones. Si son estudiantes el boleto es gratis, así que lleven su credencial"
63,"Emblemático lugar de la independencia de México!!! Las personas que cuidan cada área, contando historia de lo que se expone y muy diferente a lo que nos dicen en la escuela."
64,"Un lugar con energía muy peculiar, te transporta al verlo tan imponente..."
65,Un edificio histórico que ha sido fiel testigo de la independencia mexicana y la evolución del país. En el exterior tiene la cabeza de un águila símbolo de los puntos geográficos en los que estuvo Miguel Hidalgo en el inicio de la gesta heroica en 1810.
66,"Excelente lugar, con muchísima historia, si eres turista que le gusta la historia y el caminar, este es el lugar indicado, no puedes ir a Guanajuato sin haber estado en este museo.
El acceso es muy accesible.
Muy recomendable ir temprano para no encontrar mucha gente en el sitio.

Excelentes lugar y con mucha historia que no te puedes perder al visitar la cd.

Toma en cuenta que los lunes el museo y la mayor partes de atracción en la cd permancen cerrados."
67,"Me encanta la Cultura, lugar maravilloso y espectacular"
68,Muy buen museo que no deben dejar de visitar cuando andén por Guanajuato
69,"Visitar Guanajuato es una experiencia inolvidable llena de cultura, callejones y muchos sitios y edificios de la época de la revolución mexicana, la foto corresponde a la Alondiga de granaditas"
70,"Lugar obligado a visitar si estas en esta ciudad, es un sitio histórico con gran trascendencia.
El acceso es bueno y las salas de exposiciones están muy bien explicadas."
71,"Adentrarse en la historia es sin duda una gran experiencia, recomiendo que visiten el museo ya que será una manera sencilla de aprender viajando. La arquitectura del lugar es maravillosa."
72,Historico y bello. Y pensar que aqui yacian las cabezas de algunos heroes
73,"Hermoso edificio, cuando fui había una exposición de la India."
74,"Muy bonito, limpio y muchas cosas interesantes que observar"
75,"Debes de entrar a conocerlo. Unas exposiciones padrisimas, llenas de historia y piezas bellisimas."
76,El lugar con más historia en Guanajuato testigo de grandes batallas en la lucha de la independencia de México
77,Buen lugar para conocer un poco más de la historia de México
78,bonito museo y centro histórico
79,No alcance a visitarlo de dia! Pero es impresionante!!!
80,Es una construcción con mucha historia. Era un granero durante el Virreinato. Hoy es un museo muy interesante donde se imparten conferencias.
81,Un lugar lleno de historia. Es padrisimo. Las personas con credencial de INAPAM y estudiantes con credencial no pagan.
82,Magnífico lugar lleno de historia puede llegar por tu cuenta recorriendo el centro histórico o tomando el tour por la ciudad
83,Ciudad mágica .está mui bonito todo
84,"Lugar donde iniciamos la callejoneada, muy hermoso todo."
85,"Muy bien resguardada ,solo que estaba cerrado"
86,"¿Quieres conocer más historia sobre México? Este es el lugar idóneo, te vas a sorprender todos las fotos y objetos que ahí encontrarás.... Simplemente maravilloso...  !!!"
87,"Debes de llevar tiempo para recorrer el lugar,lo hicieron un museo con diferentes cultural y líneas de tiempo,es interesante por qué es historia de nuestro país."
88,"La vista exterior es hermosa, su explanada es muy amplia, para contemplar el lugar con sana distancia.

De ahí salen las callejoneadas."
89,"Un lugar increíble, histórico y con excelente ubicación dentro de la ciudad. Los eventos son increíbles gracias a sus gradas y explanada donde ponen el escenario. Genial la manera en la que mezclan eventos modernos en un lugar con tanta historia."
90,"Lleno de acontecimientos históricos, te llenas de Fervor Patrio visitar este museo"
91,"Es un lugar de tradición pero ya no tiene nada de histórico solo el edificio, ya no están las exhibiciones de antes donde se explica cómo fue la guerra de independencia"
92,"Hermoso, aunque falta un poco de vigilancia."
93,"Un lugar histórico que tienes que visitar si o si cuando vayas a Guanajuato.

Aparte de lo histórico no deja de admirar la belleza del edificio.

Tómate tu tiempo para recorrerlo con calma y ver cada rincón porque la verdad lo merece."
94,Interesante historia de independencia se tejió en este antiguo edificio
95,"Lugar histórico imperdible de visitar si estás en Guanajuato. Recomiendo la visita guiada (gratuita) en la que te contarán la impresionante historia del lugar. También hay una exposición que te cuenta toda la historia de México mediante representaciones con Katrinas. Impresionante.
El precio de la entrada es adecuado, y tiene una consigna donde guardar gratis las mochilas."
96,"Cuna de la independencia,  pregunten por monica en las personas que están ayudando.. muy bien informada"
97,"El lugar está muy bonito y muy completo, entrada muy barata para todo lo que ofrece"
98,Un lugar increíble.. vale la pena conocer !!
99,Lugar icónico y de suma importancia en México ya que tuvo un papel muy importante en la guerra de independencia. Sus exposiciones son muy completas e interesante te puede tomar 3 horas recorrerlo si lo ves a detalle. No pierdas la oportunidad de consultar a los guías ya que su conocimiento es único. Vean con detenimiento sus murales.
100,"No hay mucho que ver aunque si aprecian la arquitectura la estructura como tal da muy buena referencia a como se trabajaba antes con dedicación, más que nada es la historia que hace interesante el recorrido por el cual es una de las atracciones turísticas que debes de visitar en tu viaje a Guanajuato. Estuvo regular"
101,"Gran museo e icono no solamente de Guanajuato, sino de todo México. Historia y cultura sobre los tiempos en México y los héroes de Independencia. Es un lugar obligado a visitar.
Greeat museum and important place not only in Guanajuato both all México. History and culture about life in Mexico and independence's héroes. Its a must-place to visit."
102,"Muy bonito lugar lleno de historia, vale mucho la pena visitarlo, sus murales son hermosos"
103,Los guardias y el personal son muy amables y con la disposición de narrar lo que saben. Historia y cultura son un complemento perfecto. Amé Guanajuato
104,"Un lugar con mucha historia y un museo increíble, tienes que tener tiempo para contemplar cada una de las piezas de las salas. Hay paquetería para dejar tu mochila y dentro del museo hay baños."
105,"Este muceo concentra, la historia local necesaria para conocer de cerca , parte de la historia de nuestro país. *MEXICO* 100% Forzoso realizar visita obligada, para los amantes de  nuestra cultura e historia. Vista con toda la familia y  sumérgete en la historia. En particular  de este hermoso lugar en Guanajuato."
106,"Uno de los mejores museos de la  historia de México, cuenta con diversas salas donde se expone fragmentos de la historia de la independencia de México.
También tiene muchos murales, documentos históricos, una campana que es una réplica de la que uso Miguel Hidalgo para dar el grito de independencia, en fin es una gran experiencia que todos deben ir y conocer.
Las instalaciones de la alhóndiga son fantásticas muy bien cuidadas y el precio de ingreso es muy accesible."
107,"Forma parte de la historia de México, relata muy bien la guerra de independencia además de algunas otras etapas de la historia del país, vestimentas, costumbres de la época e incluso del cómo se vivía en las casas.

Tiene mapas de los lugares que hay que visitar para conocer datos históricos de cada personaje de la independencia de México y de lo sucedido después de está.

No importa si eres del país o extranjero vale mucho la pena ir a este museo."
108,Un lugar con tanta historia que todo mexicano deberíamos de conocer... Aquel que viste este lugar hay que darse la oportunidad de recorrerlo junto con algún día o historiador ya que la perspectiva cambia completamente al hacerlo
109,Buen lugar para conocer un poco de la ciudad solo que les falta más organización
110,"Los precios están súper exagerados, incluso para los guanajuatenses.
Es una tristeza que no den precios más asequibles para los habitantes de la zona.
Aparte súper mal que todavía que te cobran cara la entrada  te cobran los ""guias"" turísticos para darte una breve explicación del museo."
111,"No tuve oportunidad de tomar fotos pero la entrada es libre los días domingos enseñando tu INE, tiene una sala muy buena con la cronología de la revolución Mexicana. Es un lugar que tienes que visitar si vas a Guanajuato."
112,Siempre interesante recorrer este patrimonio se la humanidad
113,"En lo particular no me gustan los museos, pero este es sin duda el mejor que he visto, es rico en piezas únicas y sobre todo detallada la historia de mexico. Lo recomiendo ampliamente. Te sientes lleno de orgullo de ser mexicano y ver cómo puedes vencer la tiranía y la opresión a través de los ojos de los héroes de la revolución"
114,"Excelente visita muy recomendado para conocer y entender el papel de este edificio en la historia de Guanajuato, les recomiendo tomar la visita guiada que les brindará un resumen de los aspectos más importantes a conocer de este lugar, lo mas destacado los murales monumentales y todos los símbolos patrios que se encuentran ahí, además de vasijas y herramientas prehispánicas de diferentes zonas del país."
115,Lugar icónico en la historia de México. Lo mantienen en magníficas condiciones de conservación. Tienen recorridos guiados muy buenos. En cuanto a la museografía tienen buenas  exposiciones aunque hay algunas salas que les falta. Los murales de Chávez morado dan gran realce al edificio.
116,"Excelente museo, lleno de Historia 🇲🇽"
117,"Esta muy padre, nunca había entrado, los. Miércoles la entrada es gratuita y en frente del museo está también el museo de cera, es una experiencia muy interesante ver tantos datos tan Ínteresantes, no lo dejen de visitar cuando vayan a gto 😉"
118,Edificio majestuoso en donde el visitante encontrará un paseo histórico del nacimiento de nuestra Nación.
119,"Excelente el lugar. El señor Villafaña es genial contando la historia del lugar. Por otro lado algunos empleados, los que están en salas de exhibición, pareciera que no les interesa su empeño en lo absoluto, les falta servicio y atención. De ahí en fuera en recepción son amables y dan buena atención."
120,"Maravilloso lugar, zona turística limpia y segura."
121,"Excelente lugar histórico para visitar. Además de sus exposiciones permanentes hay otras temporales y eventos como conciertos, muestras de cine, muestras de fotografía, etc..."
122,Bonito lugar muy interesante
123,Excelente lugar para turistear y conocer la historia de México
124,"Es muy impresionante y triste a la ves tienen que ver la historia de este lugar, muy padre por cierto."
125,Me encantó el recorrido y la reseña histórica que nos dió el guía. La única decepción que me llevé fue que no guardaron la piedra que utilizó el Pípila para  protegerse de los ataques enemigos. Los murales son excepcionales.
