,Nombre,Temática,Adscripción,Página web,Entidad,Municipio
436,Museo de Arqueología ,Arqueología,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/307-salas-de-exposiciones-del-centro-inah-durango,Durango,Durango
437,Museo de las Culturas Populares de Durango,Arte,Instituto de Cultura del Estado de Durango,,Durango,Durango
438,Museo Túnel de Minería,Historia,Gobierno del Estado de Durango,,Durango,Durango
439,Casa de Cultura Citibanamex Palacio del Conde del Valle de Súchil,Arte,"Fomento Cultural Banamex, A.C.",http://fomentoculturalbanamex.org/casasdeculturabanamex/palaciodesuchil/,Durango,Durango
440,Museo Francisco Villa,Historia,Instituto de Cultura del Estado de Durango,,Durango,Durango
441,Museo Comunitario Tepeyolotl,Arqueología,"Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,Durango
442,Museo de Sitio de la Ferrería,Arqueología,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/203-museo-de-sitio-de-la-ferreria,Durango,Durango
443,Museo Comunitario Nuestra Historia de Ayer y Hoy,Historia,"Promotores de la Cultura Simón Bolivar, A.C./Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,General Simón Bolívar
444,Museo Comunitario Xiximes,Ciencia y tecnología,"Asociación Nacional de Museos Comunitarios, A.C./Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,Gómez Palacio
445,Museo de Artesanías Regionales (MUSAR),Arte,Universidad La Salle Laguna,,Durango,Gómez Palacio
446,Acertijo Museo Interactivo Laguna,Especializado,,,Durango,Gómez Palacio
447,Museo de Arte Moderno ,Arte,Casa de Cultura Gómez Farías /Gobierno del Estado de Durango,,Durango,Gómez Palacio
448,Museo Capitán Piloto Aviador Francisco Sarabia Tinoco ,Historia,Ayuntamiento de Lerdo,,Durango,Lerdo
449,Museo Histórico de la Ciudad Chalet  Gorosave,Historia,Ayuntamiento de Lerdo,,Durango,Lerdo
450,Museo Comunitario Francisco Villa y la División del Norte,Historia,"Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,Lerdo
451,Museo Comunitario Avilés,Historia,"Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,Lerdo
452,Museo Benito Juárez ,Arqueología,Ayuntamiento de Mapimí,,Durango,Mapimí
453,Museo Recinto Hidalgo ,Historia,Ayuntamiento de Mapimí,,Durango,Mapimí
454,Museo Comunitario Contalpa,Antropología,"Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,Nombre de Dios
455,Museo de Sitio Francisco Villa,Historia,Instituto de Cultura del Estado de Durango,,Durango,Ocampo
456,Museo Comunitario Peñón Blanco,Antropología,Ayuntamiento de Peñon Blanco,,Durango,Peñón Blanco
457,Museo Comunitario Maika,Arqueología,"Amigos de Poanas, A.C.",https://www.facebook.com/Museo-Comunitario-Maika-360020697469275/?fref=ts,Durango,Poanas
458,Museo Comunitario Alhí,Historia,"Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,Pueblo Nuevo
459,Museo Comunitario de la Minería,Historia,"Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,San Juan de Guadalupe
460,Museo Comunitario San Juan del Río en la Historia,Historia,Ayuntamiento de San Juan de Río,,Durango,San Juan del Río
461,Museo de Sitio La Coyotada General Francisco Villa,Historia,Instituto de Cultura del Estado de Durango,,Durango,San Juan del Río
462,Museo de Antropología e Historia de Santiago Papasquiaro,Arqueología,"Amigos del Museo de Antropolgía e Historia de Santiago Papasquiaro, A.C.",,Durango,Santiago Papasquiaro
463,Museo Comunitario Papantón,Arqueología,"Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,Santiago Papasquiaro
464,Museo Comunitario Valle de Súchil,TND,"Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,Súchil
465,Museo de Sitio de San José de la Boca,Antropología,"Amigos de la Cultura, A.C./Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,Tepehuanes
466,Museo Comunitario Laguna del Caimán,Ciencia y tecnología,"Ayuntamiento de Tlahualilo, Dgo.",,Durango,Tlahualilo
467,Museo Comunitario Estación de Horizonte,Antropología,"Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,Tlahualilo
468,Museo Comunitario Tohue,Arqueología,"Huellas del Pasado, A.C.",,Durango,Vicente Guerrero
469,"Museo Comunitario Nuevo Ideal, ayer y hoy",Historia,"Ayuntamiento de Nuevo Ideal, Dgo",,Durango,Nuevo Ideal
470,Museo Municipal Miguel Hidalgo,Historia,Ayuntamiento de Abasolo/Instituto Estatal de Cultura,,Guanajuato,Abasolo
471,Museo de Sitio San Vicente del Caño,Historia,Ayuntamiento de Abasolo,,Guanajuato,Abasolo
472,Museo de Sitio de la Zona Arquelógica de Peralta,,Secretaría de Cutura/INAH,https://www.inah.gob.mx/zonas/8-zona-arqueologica-peralta,Guanajuato,Abasolo
473,Museo Local de Acámbaro Dr. Luis Mota Maciel,Arqueología,Ayuntamiento de Acámbaro ,,Guanajuato,Acámbaro
474,Museo Waldemar Julsrud,Arqueología,"Museo Waldemar Julsrud, A.C.",,Guanajuato,Acámbaro
475,Museo Ferrocarrilero José Cardozo Téllez,Historia,"Amigos del Ferrocarril de Acámbaro, A.C.",,Guanajuato,Acámbaro
476,Museo Comunitario Fray Bernardo Padilla,Historia,Comunitario independiente,,Guanajuato,Acámbaro
477,Museo La Esquina. Museo del Juguete Popular Mexicano,Arte,"Fundación para la Conservación del Juguete Popular Mexicano, A.C.",,Guanajuato,San Miguel de Allende
478,Museo Casa del Mayorazgo de la Canal,Arte,"Fomento Cultural Banamex, A.C.",http://fomentoculturalbanamex.org/casasdeculturabanamex/casadelacanal/,Guanajuato,San Miguel de Allende
479,Museo de sitio de la Zona Arqueológica de Cañada de la Virgen,,Instituto Estatal de Cultura del Estado de Guanajauto,https://www.inah.gob.mx/zonas/79-zona-arqueologica-canada-de-la-virgen,Guanajuato,San Miguel de Allende
480,Museo Histórico Casa de Allende,Historia,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/213-museo-historico-casa-de-allende,Guanajuato,San Miguel de Allende
481,Museo de Arte  de Celaya Octavio Ocampo,Arte,Instituto de Arte y Cultura de Celaya,https://cultura-celaya.gob.mx/sedes/,Guanajuato,Celaya
482,"Centro de Interpretación Histórica. Las Batallas de Celaya, 1915",Historia,Instituto de Arte y Cultura de Celaya/Casa del Diezmo,,Guanajuato,Celaya
483,"Museo de Celaya, Historia Regional ",Historia,Sistema Municipal de Arte y Cultura de Celaya,https://cultura-celaya.gob.mx/sedes/,Guanajuato,Celaya
484,Museo de Momias,Especializado,Panteón /Ayuntamiento de Celaya,,Guanajuato,Celaya
485,Museo Casa del Dr. José María Luis Mora,Historia,Secretaría de Cultura/INAH,,Guanajuato,Comonfort
486,Museo de la Independencia Nacional,Historia,Ayuntamiento de Dolores Hidalgo Cuna de la Independencia Nacional,,Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional
487,Casa Museo José Alfredo Jiménez,Historia,"Casa Museo José Alfredo Jiménez, A.C.",https://museojosealfredojimenez.com.mx/jose-alfredo-jimenez/,Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional
488,Museo del Bicentenario,Historia,Ayuntamiento de Dolores Hidalgo Cuna de la Independencia Nacional,,Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional
489,Museo de Sitio Casa de Hidalgo (Excurato de Dolores),Historia,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/246-museo-historico-curato-de-dolores,Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional
490,Museo de las Momias de Guanajuato,Especializado,Ayuntamiento de Guanajuato,http://www.momiasdeguanajuato.gob.mx,Guanajuato,Guanajuato
491,Museo de Mineralogía Eduardo Villaseñor Söhle,Ciencia y tecnología,Universidad de Guanajuato/Facultad de Minas,https://selper-guanajuato-2017.webnode.mx/visita-al-museo-de-mineralogia-eduardo-villasenor-sohle/,Guanajuato,Guanajuato
492,Casa Museo Gene Byron,Arte,Gobierno del Estado,,Guanajuato,Guanajuato
493,Museo Regional de Guanajuato Alhóndiga de Granaditas,Historia,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/214-museo-regional-de-guanajuato-alhondiga-de-granaditas,Guanajuato,Guanajuato
494,Museo de Cera de Guanajuato,Especializado,Gobierno del Estado de Guanajuato,http://www.museodeceradeguanajuato.com.mx/,Guanajuato,Guanajuato
495,Museo Casa de Arte Olga Costa - José Chávez Morado,Arte,Instituto Estatal de la Cultura de Guanajuato,,Guanajuato,Guanajuato
496,Museo Casa de las Leyendas de Guanajuato,Historia,Particular,,Guanajuato,Guanajuato
497,Museo Conde Rul,Arte,Instituto Estatal de la Cultura de Guanajuato/Dirección de Museos,,Guanajuato,Guanajuato
498,Museo Casa de Tía Aura,Historia,,http://www.casadetiaaura.com,Guanajuato,Guanajuato
499,Pinacoteca del Templo de La Compañía,Arte,Congregación del Oratorio de San Felipe Neri,,Guanajuato,Guanajuato
500,Museo de Arte Contemporáneo Primer Depósito,Arte,Particular,,Guanajuato,Guanajuato
501,Museo Ex-Hacienda San Gabriel de Barrera,Arte,Gobierno del Estado de Guanajuato,,Guanajuato,Guanajuato
502,Museo Iconográfico del Quijote,Arte,Gobierno del Estado de Guanajuato, http://museoiconografico.guanajuato.gob.mx,Guanajuato,Guanajuato
503,Museo Casa Diego Rivera,Arte,Instituto Estatal de la Cultura de Guanajuato,,Guanajuato,Guanajuato
504,Museo del Pueblo de Guanajuato,Arte,Instituto Estatal de la Cultura de Guanajuato,,Guanajuato,Guanajuato
505,Museo  Palacio de los Poderes,,Instituto Estatal de la Cultura de Guanajuato/Dirección de Museos,https://cultura.guanajuato.gob.mx/,Guanajuato,Guanajuato
506,Museo de Sitio Ex Convento Dieguino,Arte,Ayuntamiento de Guanajuato/Dirección General de Cultura y Educación,,Guanajuato,Guanajuato
507,Museo de la Cultura Legislativa,,Congreso del Estado de Guanajuato,http://conoce.congresogto.gob.mx/museo/index.php,Guanajuato,Guanajuato
508,Museo de la Universidad de Guanajuato,,Universidad de Guanajuato,https://www.ugto.mx/mug/,Guanajuato,Guanajuato
509,Museo de Historia Natural Alfredo Dugés,Ciencia y tecnología,Universidad de Guanajuato,,Guanajuato,Guanajuato
510,Museo Arqueológico Huanímaro,Arqueología,Ayuntamiento de Huanímaro/Casa de Cultura,,Guanajuato,Huanímaro
511,Museo Pacha Moma,,Fundación Fernando Barba Amezcua A.C,http://www.fbac.mx,Guanajuato,Irapuato
512,Museo de la Ciudad ,Arqueología,"Instituto Municipal de Cultura, Arte y Recreación",http://irapuatoguanajuato.blogspot.mx/2009/12/museo-de-la-ciudad-de-irapuato.html,Guanajuato,Irapuato
513,Museo de las Identidades Leonesas (MIL),Antropología,Instituto Cultural de León,http://institutoculturaldeleon.org.mx/icl/excarcel,Guanajuato,León
514,Museo Centro de Ciencias Explora,Ciencia y tecnología,Ayuntamiento de León,http://www.explora.edu.mx ,Guanajuato,León
515,Mi Museo Universitario de La Salle (MIM),Arte,Universidad de La Salle Bajío,http://bajio.delasalle.edu.mx/servicios/mim.php,Guanajuato,León
516,Museo de Arte e Historia de Guanajuato,Historia,Forum Cultural Guanajuato/Gobierno del Estado de Guanajuato,,Guanajuato,León
517,Museo de Arte Sacro de León,Arte,Arquidiócesis de León,,Guanajuato,León
518,Museo de la Ciudad de León,Arte,Fideicomiso Museo de la Ciudad de León/Ayuntamiento de León,http://www.museodelaciudaddeleon.org.mx/museo/modulos/mdl_principal/sub_main/index.php,Guanajuato,León
519,Museo de Sitio de la Zona Arqueológica de El Cóporo,,Instituto Estatal de Cultura del Estado de Guanajauto,http://www.inah.gob.mx/es/zonas/26-zona-arqueologica-el-coporo,Guanajuato,Ocampo
520,Museo de Sitio de la Zona Arquelógica de Plazuelas,,Secretaría de Cultura/INAH,https://www.inah.gob.mx/zonas/74-zona-arqueologica-plazuelas,Guanajuato,Pénjamo
